Dallas,2018,NFL,8,732958,91619
New York,2018,NFL,8,623856,77982
Green Bay,2018,NFL,8,622677,77834
New York,2018,NFL,8,615525,76940
Denver,2018,NFL,8,611571,76446
Kansas City,2018,NFL,8,607780,75972
Carolina,2018,NFL,8,590182,73772
New Orleans,2018,NFL,8,584411,73051
Atlanta,2018,NFL,8,583184,72898
Los Angeles,2018,NFL,8,579439,72429
Houston,2018,NFL,8,574439,71804
Baltimore,2018,NFL,8,563451,70431
Philadelphia,2018,NFL,8,557568,69696
San Francisco,2018,NFL,8,553190,69148
Seattle,2018,NFL,8,552009,69001
Minnesota,2018,NFL,8,534491,66811
Jacksonville,2018,NFL,7,466719,66674
New England,2018,NFL,8,527024,65878
Cleveland,2018,NFL,8,526122,65765
Miami,2018,NFL,8,524480,65560
Buffalo,2018,NFL,8,519695,64961
Tennessee,2018,NFL,8,516161,64520
Pittsburgh,2018,NFL,8,507651,63456
Detroit,2018,NFL,8,502361,62795
Arizona,2018,NFL,8,496111,62013
Chicago,2018,NFL,8,494525,61815
Washington,2018,NFL,8,488227,61028
Indianapolis,2018,NFL,8,473598,59199
Las Vegas,2018,NFL,8,463353,57919
Tampa Bay,2018,NFL,8,434855,54356
Cincinnati,2018,NFL,8,406028,50753
Los Angeles,2018,NFL,8,262145,32768
NY Yankees,2018,MLB,81,3482855,42998
St. Louis,2018,MLB,81,3403587,42019
San Francisco,2018,MLB,81,3156185,38965
Chicago Cubs,2018,MLB,82,3181089,38793
ngels,2018,MLB,81,3020216,37286
Colorado,2018,MLB,81,3015880,37233
Houston,2018,MLB,81,2980549,36796
Boston,2018,MLB,81,2895575,35747
Milwaukee,2018,MLB,81,2850875,35195
Washington,2018,MLB,80,2529604,31620
tlanta,2018,MLB,81,2555781,31552
Toronto,2018,MLB,80,2325281,29066
Seattle,2018,MLB,81,2299489,28388
NY Mets,2018,MLB,79,2224995,28164
rizona,2018,MLB,81,2242695,27687
Philadelphia,2018,MLB,79,2158124,27318
San Diego,2018,MLB,80,2147000,26837
Texas,2018,MLB,81,2107107,26013
Minnesota,2018,MLB,80,1959197,24489
Cleveland,2018,MLB,80,1926701,24083
Detroit,2018,MLB,80,1856970,23212
Kansas City,2018,MLB,81,1665107,20556
Cincinnati,2018,MLB,81,1629356,20115
Chicago White Sox,2018,MLB,80,1608817,20110
Baltimore,2018,MLB,78,1564192,20053
Oakland,2018,MLB,81,1573616,19427
Pittsburgh,2018,MLB,78,1465316,18786
Tampa Bay,2018,MLB,81,1154973,14258
Miami,2018,MLB,81,811104,10013
Cavaliers,2018,NBA,41,843042,20562
76ers,2018,NBA,41,833503,20329
Raptors,2018,NBA,41,813431,19839
Mavericks,2018,NBA,41,811453,19791
Heat,2018,NBA,41,785250,19631
Warriors,2018,NBA,41,803436,19596
Trail Blazers,2018,NBA,41,795328,19398
NY Knicks,2018,NBA,41,792608,19331
Lakers,2018,NBA,41,776327,18934
Celtics,2018,NBA,41,744960,18624
Spurs,2018,NBA,41,754562,18403
Thunder,2018,NBA,41,746323,18203
Wizards,2018,NBA,41,718946,17973
Jazz,2018,NBA,41,734806,17922
Rockets,2018,NBA,41,716008,17900
Magic,2018,NBA,41,715728,17893
Kings,2018,NBA,41,649571,17555
Pistons,2018,NBA,41,713945,17413
Nuggets,2018,NBA,41,702796,17141
Timberwolves,2018,NBA,41,699308,17056
Clippers,2018,NBA,41,697812,17019
Suns,2018,NBA,41,674655,16866
Bucks,2018,NBA,41,685303,16714
Pelicans,2018,NBA,41,673920,16437
Hornets,2018,NBA,41,671404,16375
Pacers,2018,NBA,41,658119,16051
Grizzlies,2018,NBA,41,653863,15947
Nets,2018,NBA,41,622278,15556
Hawks,2018,NBA,41,590769,14409
Leb,2018,NBA,0,0,0
Ste,2018,NBA,1,17801,0
World,2018,NBA,0,0,0
Usa,2018,NBA,1,17801,0
Montreal,2018,NHL,41,873283,21299
Philadelphia,2018,NHL,41,800214,19517
Detroit,2018,NHL,41,800115,19515
Toronto,2018,NHL,41,786677,19187
Tampa Bay,2018,NHL,41,782772,19092
Minnesota,2018,NHL,41,780501,19036
Calgary,2018,NHL,41,775105,18905
Washington,2018,NHL,41,769756,18774
Pittsburgh,2018,NHL,41,761764,18579
Buffalo,2018,NHL,41,761104,18563
St. Louis,2018,NHL,41,752624,18356
Edmonton,2018,NHL,41,752227,18347
Los Angeles,2018,NHL,41,747845,18240
Dallas,2018,NHL,41,742511,18110
Vancouver,2018,NHL,41,741233,18078
Vegas,2018,NHL,41,739740,18042
New York,2018,NHL,41,731899,17851
Boston,2018,NHL,41,720165,17565
San Jose,2018,NHL,41,711988,17365
Nashville,2018,NHL,41,709597,17307
Columbus,2018,NHL,41,683034,16659
Anaheim,2018,NHL,41,682060,16635
Ottawa,2018,NHL,41,648996,15829
Colorado,2018,NHL,41,639063,15586
Winnipeg,2018,NHL,41,628161,15321
New Jersey,2018,NHL,41,623240,15200
Florida,2018,NHL,41,567897,13851
Carolina,2018,NHL,41,546142,13320
Arizona,2018,NHL,30,534670,13040
New York,2018,NHL,31,492086,12002
