Boston Celtics '2017,2017,NBA,30,11,0,23,18,0,Boston,Celtics
Portland Trail Blazers '2017,2017,NBA,25,16,0,16,25,0,Portland,Trail Blazers
Phoenix Suns '2017,2017,NBA,15,26,0,9,32,0,Phoenix,Suns
Toronto Raptors '2017,2017,NBA,28,13,0,23,18,0,Toronto,Raptors
Oklahoma City Thunder '2017,2017,NBA,28,13,0,19,22,0,Oklahoma City,Thunder
Brooklyn Nets '2017,2017,NBA,13,28,0,7,34,0,Brooklyn,Nets
Minnesota Timberwolves '2017,2017,NBA,20,21,0,11,30,0,Minnesota,Timberwolves
San Antonio Spurs '2017,2017,NBA,31,10,0,30,11,0,San Antonio,Spurs
Indiana Pacers '2017,2017,NBA,29,12,0,13,28,0,Indiana,Pacers
Charlotte Hornets '2017,2017,NBA,22,19,0,14,27,0,Charlotte,Hornets
Los Angeles Lakers '2017,2017,NBA,17,24,0,9,32,0,Los Angeles,Lakers
New Orleans Pelicans '2017,2017,NBA,21,20,0,13,28,0,New Orleans,Pelicans
New York Knicks '2017,2017,NBA,19,22,0,12,29,0,New York,Knicks
Milwaukee Bucks '2017,2017,NBA,23,18,0,19,22,0,Milwaukee,Bucks
Miami Heat '2017,2017,NBA,23,18,0,18,23,0,Miami,Heat
Atlanta Hawks '2017,2017,NBA,23,18,0,20,21,0,Atlanta,Hawks
Chicago Bulls '2017,2017,NBA,25,16,0,16,25,0,Chicago,Bulls
Sacramento Kings '2017,2017,NBA,17,24,0,15,26,0,Sacramento,Kings
Philadelphia 76ers '2017,2017,NBA,17,24,0,11,30,0,Philadelphia,76ers
Detroit Pistons '2017,2017,NBA,24,17,0,13,28,0,Detroit,Pistons
Orlando Magic '2017,2017,NBA,16,25,0,13,28,0,Orlando,Magic
Utah Jazz '2017,2017,NBA,29,12,0,22,19,0,Utah,Jazz
Memphis Grizzlies '2017,2017,NBA,24,17,0,19,22,0,Memphis,Grizzlies
Dallas Mavericks '2017,2017,NBA,21,20,0,12,29,0,Dallas,Mavericks
Washington Capitals '2017,2017,NHL,32,7,2,23,12,6,Washington,Capitals
Pittsburgh Penguins '2017,2017,NHL,31,6,4,19,15,7,Pittsburgh,Penguins
Chicago Blackhawks '2017,2017,NHL,26,10,5,24,13,4,Chicago,Blackhawks
Columbus Blue Jackets '2017,2017,NHL,28,12,1,22,12,7,Columbus,Blue Jackets
Minnesota Wild '2017,2017,NHL,27,12,2,22,13,6,Minnesota,Wild
Anaheim Ducks '2017,2017,NHL,29,8,4,17,15,9,Anaheim,Ducks
Edmonton Oilers '2017,2017,NHL,25,12,4,22,14,5,Edmonton,Oilers
Montreal Canadiens '2017,2017,NHL,24,12,5,23,14,4,Montreal,Canadiens
New York Rangers '2017,2017,NHL,21,16,4,27,12,2,New York,Rangers
St. Louis Blues '2017,2017,NHL,24,12,5,22,17,2,St. Louis,Blues
San Jose Sharks '2017,2017,NHL,26,11,4,20,18,3,San Jose,Sharks
Ottawa Senators '2017,2017,NHL,22,11,8,22,17,2,Ottawa,Senators
Boston Bruins '2017,2017,NHL,23,17,1,21,14,6,Boston,Bruins
Toronto Maple Leafs '2017,2017,NHL,21,13,7,19,14,8,Toronto,Maple Leafs
New York Islanders '2017,2017,NHL,22,12,7,19,17,5,New York,Islanders
Nashville Predators '2017,2017,NHL,24,9,8,17,20,4,Nashville,Predators
Tampa Bay Lightning '2017,2017,NHL,23,14,4,19,16,6,Tampa Bay,Lightning
Calgary Flames '2017,2017,NHL,24,17,0,21,16,4,Calgary,Flames
Philadelphia Flyers '2017,2017,NHL,25,11,5,14,22,5,Philadelphia,Flyers
Carolina Hurricanes '2017,2017,NHL,23,12,6,13,19,9,Carolina,Hurricanes
Winnipeg Jets '2017,2017,NHL,22,18,1,18,17,6,Winnipeg,Jets
Los Angeles Kings '2017,2017,NHL,23,16,2,16,19,6,Los Angeles,Kings
Florida Panthers '2017,2017,NHL,19,19,3,16,17,8,Florida,Panthers
Detroit Red Wings '2017,2017,NHL,17,17,7,16,19,6,Detroit,Red Wings
Dallas Stars '2017,2017,NHL,22,13,6,12,24,5,Dallas,Stars
Buffalo Sabres '2017,2017,NHL,20,15,6,13,22,6,Buffalo,Sabres
New Jersey Devils '2017,2017,NHL,16,17,8,12,23,6,New Jersey,Devils
Arizona Coyotes '2017,2017,NHL,18,18,5,12,24,5,Arizona,Coyotes
Vancouver Canucks '2017,2017,NHL,18,17,6,12,26,3,Vancouver,Canucks
Colorado Avalanche '2017,2017,NHL,13,26,2,9,30,2,Colorado,Avalanche
